position,latitude,longitude,linesag,linesway,contact,strike,status
2718,37.40995,-122.23541,16.0,0.0,0.01,0.0,OK
2748,37.40984,-122.23572,12.0,0.3,0.02,0.0,OK
2778,37.40973,-122.23603,14.9,0.5,0.0,0.0,OK
2808,37.40962,-122.23634,19.8,0.6,0.0,0.0,OK
2838,37.4095,-122.23665,21.7,0.6,0.0,0.0,OK
2868,37.40939,-122.23696,20.8,0.5,0.0,0.0,OK
2898,37.40928,-122.23727,20.8,0.3,0.01,0.0,OK
2928,37.40917,-122.23757,16.8,0.1,0.02,0.0,OK
2941,37.40912,-122.23771,15.0,0.0,0.04,0.0,OK
2971,37.40901,-122.23802,12.7,0.4,0.05,0.0,OK
3001,37.40889,-122.23833,18.2,0.7,0.02,0.0,OK
3031,37.40878,-122.23864,24.7,0.9,0.02,0.0,OK
3061,37.40867,-122.23894,25.1,1.0,0.04,0.0,OK
3091,37.40856,-122.23925,25.3,1.1,0.03,0.0,OK
3121,37.40844,-122.23956,26.4,1.1,0.01,0.0,OK
3151,37.40833,-122.23987,25.5,1.0,0.0,0.0,OK
3181,37.40822,-122.24018,26.4,0.8,0.0,0.0,OK
3211,37.4081,-122.24049,20.3,0.6,0.0,0.0,OK
3241,37.40799,-122.24079,15.9,0.3,0.0,0.0,OK
3268,37.40789,-122.24107,17.0,0.0,0.0,0.0,OK
3298,37.40778,-122.24138,13.8,0.2,0.0,0.0,OK
3328,37.40767,-122.24169,12.6,0.4,0.0,0.0,OK
3358,37.40755,-122.242,10.5,0.5,0.0,0.0,OK
3388,37.40744,-122.24231,11.5,0.5,0.0,0.0,OK
3418,37.40733,-122.24261,11.5,0.4,0.01,0.0,OK
3448,37.40722,-122.24292,12.6,0.2,0.01,0.0,OK
3466,37.40715,-122.24311,15.0,0.0,0.01,0.0,OK
3496,37.40704,-122.24342,13.9,0.2,0.0,0.0,OK
3526,37.40692,-122.24373,11.9,0.4,0.0,0.0,OK
3556,37.40681,-122.24403,11.0,0.4,0.0,0.0,OK
3586,37.40669,-122.24434,12.2,0.4,0.0,0.0,OK
3616,37.40658,-122.24465,12.5,0.3,0.0,0.0,OK
3646,37.40647,-122.24496,15.8,0.1,0.0,0.0,OK
3653,37.40644,-122.24503,17.0,0.0,0.0,0.0,OK
3683,37.40621,-122.24486,13.2,0.1,0.0,0.0,OK
3713,37.40597,-122.24469,12.7,0.1,0.0,0.0,OK
3743,37.40574,-122.24452,15.5,0.0,0.0,0.0,OK
3759,37.40562,-122.24443,17.0,0.0,0.0,0.0,OK
3789,37.40535,-122.24437,15.9,0.0,0.0,0.0,OK
3819,37.40509,-122.2443,17.0,0.0,0.0,0.0,OK
3849,37.40482,-122.24424,18.4,0.0,0.0,0.0,OK
3878,37.40456,-122.24418,20.0,0.0,0.0,0.0,OK
3908,37.40429,-122.24421,17.6,0.0,0.0,0.0,OK
3938,37.40402,-122.24423,17.4,0.0,0.0,0.0,OK
3968,37.40375,-122.24426,18.4,0.0,0.0,0.0,OK
3998,37.40348,-122.24428,19.7,0.0,0.0,0.0,OK
4009,37.40339,-122.24429,20.0,0.0,0.0,0.0,OK
4039,37.40313,-122.2444,17.3,0.0,0.0,0.0,OK
4069,37.40288,-122.24451,16.1,0.0,0.0,0.0,OK
4099,37.40262,-122.24462,19.0,0.0,0.0,0.0,OK
4115,37.40249,-122.24468,20.0,0.0,0.0,0.0,OK
4145,37.40227,-122.24487,19.3,0.1,0.0,0.0,OK
4175,37.40205,-122.24507,17.6,0.1,0.0,0.0,OK
4205,37.40182,-122.24526,17.2,0.1,0.0,0.0,OK
4235,37.4016,-122.24545,18.9,0.1,0.0,0.0,OK
4265,37.40138,-122.24564,21.8,0.0,0.0,0.0,OK
4267,37.40136,-122.24566,22.0,0.0,0.0,0.0,OK
4297,37.40124,-122.24596,17.7,0.4,0.0,0.0,OK
4327,37.40111,-122.24626,14.1,0.7,0.0,0.0,OK
4357,37.40099,-122.24656,11.4,0.9,0.0,0.0,OK
4387,37.40086,-122.24687,9.6,1.1,0.0,0.0,OK
4417,37.40074,-122.24717,8.6,1.2,0.01,0.0,OK
4447,37.40061,-122.24747,8.5,1.2,0.01,0.0,OK
4477,37.40049,-122.24777,9.3,1.2,0.06,0.0,OK
4507,37.40036,-122.24807,11.0,1.1,0.07,0.0,OK
4537,37.40024,-122.24837,13.4,0.9,0.05,0.0,OK
4567,37.40012,-122.24867,14.8,0.7,0.03,0.0,OK
4597,37.39999,-122.24898,17.1,0.4,0.03,0.0,OK
4627,37.39987,-122.24927,16.0,0.0,0.04,0.0,OK
4657,37.39983,-122.24961,9.9,0.8,0.06,0.0,OK
4687,37.39979,-122.24994,3.1,1.3,0.1,0.0,OK
4717,37.39976,-122.25028,-1.0,1.4,0.1,0.0,OK
4747,37.39972,-122.25061,0.3,1.3,0.08,0.0,OK
4777,37.39968,-122.25095,7.8,0.7,0.06,0.0,OK
4793,37.39966,-122.25113,18.0,0.0,0.01,0.0,OK
4823,37.39964,-122.25147,19.0,0.6,0.01,0.0,OK
4853,37.39962,-122.25181,23.0,1.2,0.01,0.0,OK
4883,37.3996,-122.25215,21.9,1.6,0.01,0.0,OK
4913,37.39958,-122.25249,19.7,2.0,0.01,0.0,OK
4943,37.39956,-122.25282,16.3,2.3,0.01,0.0,OK
4973,37.39955,-122.25316,12.9,2.5,0.03,0.0,OK
5003,37.39953,-122.2535,10.5,2.6,0.06,0.0,OK
5033,37.39951,-122.25384,8.0,2.7,0.29,0.0,OK
5063,37.39949,-122.25418,8.5,2.6,0.31,0.0,OK
5093,37.39947,-122.25452,7.9,2.5,0.24,0.0,OK
5123,37.39945,-122.25486,9.2,2.2,0.04,0.0,OK
5153,37.39943,-122.2552,13.6,1.9,0.01,0.0,OK
5183,37.39941,-122.25553,13.5,1.5,0.01,0.0,OK
5213,37.39939,-122.25587,13.8,1.0,0.01,0.0,OK
5243,37.39937,-122.25621,18.1,0.4,0.01,0.0,OK
5248,37.39937,-122.25627,22.0,0.0,0.01,0.0,OK
